fips,state,county,seat,lat,lon,int_lat,int_lon,point_source
51141,VA,Patrick County,Stuart,36.6403,-80.2739,36.667138,-80.286413,seat
51143,VA,Pittsylvania County,Chatham,36.8256,-79.3975,36.821721,-79.398502,seat
51145,VA,Powhatan County,Powhatan,37.5422,-77.9189,37.549404,-77.912855,seat
51147,VA,Prince Edward County,Farmville,37.3021,-78.39194,37.224881,-78.432957,seat
51149,VA,Prince George County,Prince George,37.2206,-77.2881,37.187325,-77.220993,seat
51153,VA,Prince William County,(internal point),38.701119,-77.479579,38.701119,-77.479579,internal_point
51155,VA,Pulaski County,Pulaski,37.05,-80.7722,37.063385,-80.713444,seat
51157,VA,Rappahannock County,Washington,38.7128,-78.1594,38.684522,-78.168824,seat
51159,VA,Richmond County,Warsaw,37.9575,-76.7583,37.942894,-76.730561,seat
51161,VA,Roanoke County,Salem,37.286895,-80.055836,37.330792,-80.191237,seat
51163,VA,Rockbridge County,Lexington,37.7840208,-79.4428157,37.814517,-79.447754,seat
51165,VA,Rockingham County,Harrisonburg,38.4494,-78.8689,38.507585,-78.885321,seat
51167,VA,Russell County,Lebanon,36.9008,-82.0769,36.93342,-82.095934,seat
51169,VA,Scott County,Gate City,36.6383,-82.5806,36.712776,-82.613624,seat
51171,VA,Shenandoah County,Woodstock,38.8769,-78.5114,38.856204,-78.573987,seat
51173,VA,Smyth County,Marion,36.83694,-81.51639,36.842318,-81.539786,seat
51175,VA,Southampton County,Courtland,36.7158,-77.0661,36.720068,-77.103813,seat
51177,VA,Spotsylvania County,Spotsylvania Courthouse,38.2019,-77.5875,38.182431,-77.657226,seat
51179,VA,Stafford County,Stafford,38.4153,-77.4156,38.423084,-77.458048,seat
51181,VA,Surry County,Surry,37.1358,-76.8353,37.119761,-76.880172,seat
51183,VA,Sussex County,Sussex,37.9153,-77.2792,36.926645,-77.259732,seat
51185,VA,Tazewell County,Tazewell,37.11484,-81.51955,37.125395,-81.562924,seat
51187,VA,Warren County,Front Royal,38.9258,-78.1919,38.908221,-78.207594,seat
51191,VA,Washington County,Abingdon,36.709722222222,-81.975555555556,36.747814,-81.950322,seat
51193,VA,Westmoreland County,Montross,38.0939,-76.8261,38.109311,-76.803933,seat
51195,VA,Wise County,Wise,36.9781,-82.5769,36.974561,-82.62156,seat
51197,VA,Wythe County,Wytheville,36.9478,-81.0869,36.899868,-81.08301,seat
51199,VA,York County,Yorktown,37.2344,-76.5097,37.220914,-76.395533,seat
51510,VA,Alexandria city,(internal point),38.819251,-77.08367,38.819251,-77.08367,internal_point
51520,VA,Bristol city,(internal point),36.616954,-82.157564,36.616954,-82.157564,internal_point
51530,VA,Buena Vista city,(internal point),37.729345,-79.358134,37.729345,-79.358134,internal_point
51540,VA,Charlottesville city,(internal point),38.037658,-78.485381,38.037658,-78.485381,internal_point
51550,VA,Chesapeake city,(internal point),36.679376,-76.301788,36.679376,-76.301788,internal_point
51570,VA,Colonial Heights city,(internal point),37.261685,-77.396804,37.261685,-77.396804,internal_point
51580,VA,Covington city,(internal point),37.78106,-79.985434,37.78106,-79.985434,internal_point
51590,VA,Danville city,(internal point),36.583334,-79.408071,36.583334,-79.408071,internal_point
51595,VA,Emporia city,(internal point),36.696182,-77.535975,36.696182,-77.535975,internal_point
51600,VA,Fairfax city,(internal point),38.853183,-77.299025,38.853183,-77.299025,internal_point
51610,VA,Falls Church city,(internal point),38.884722,-77.175603,38.884722,-77.175603,internal_point
51620,VA,Franklin city,(internal point),36.684014,-76.941396,36.684014,-76.941396,internal_point
51630,VA,Fredericksburg city,(internal point),38.299272,-77.486658,38.299272,-77.486658,internal_point
51640,VA,Galax city,(internal point),36.66564,-80.914308,36.66564,-80.914308,internal_point
51650,VA,Hampton city,(internal point),37.047961,-76.297293,37.047961,-76.297293,internal_point
51660,VA,Harrisonburg city,(internal point),38.436255,-78.873303,38.436255,-78.873303,internal_point
51670,VA,Hopewell city,(internal point),37.29101,-77.298944,37.29101,-77.298944,internal_point
51678,VA,Lexington city,(internal point),37.782332,-79.44432,37.782332,-79.44432,internal_point
51680,VA,Lynchburg city,(internal point),37.399016,-79.195458,37.399016,-79.195458,internal_point
51683,VA,Manassas city,(internal point),38.746808,-77.482633,38.746808,-77.482633,internal_point
51685,VA,Manassas Park city,(internal point),38.769398,-77.442323,38.769398,-77.442323,internal_point
51690,VA,Martinsville city,(internal point),36.683527,-79.863647,36.683527,-79.863647,internal_point
51700,VA,Newport News city,(internal point),37.076136,-76.52198,37.076136,-76.52198,internal_point
51710,VA,Norfolk city,(internal point),36.923015,-76.244641,36.923015,-76.244641,internal_point
51720,VA,Norton city,(internal point),36.931549,-82.625996,36.931549,-82.625996,internal_point
51730,VA,Petersburg city,(internal point),37.20473,-77.392368,37.20473,-77.392368,internal_point
51735,VA,Poquoson city,(internal point),37.12836,-76.303534,37.12836,-76.303534,internal_point
51740,VA,Portsmouth city,(internal point),36.859339,-76.356973,36.859339,-76.356973,internal_point
51750,VA,Radford city,(internal point),37.120119,-80.559147,37.120119,-80.559147,internal_point
51760,VA,Richmond city,(internal point),37.531399,-77.476009,37.531399,-77.476009,internal_point
51770,VA,Roanoke city,(internal point),37.278458,-79.958174,37.278458,-79.958174,internal_point
51775,VA,Salem city,(internal point),37.285333,-80.055241,37.285333,-80.055241,internal_point
51790,VA,Staunton city,(internal point),38.157978,-79.061876,38.157978,-79.061876,internal_point
51800,VA,Suffolk city,(internal point),36.697157,-76.634781,36.697157,-76.634781,internal_point
51810,VA,Virginia Beach city,(internal point),36.779525,-76.029142,36.779525,-76.029142,internal_point
51820,VA,Waynesboro city,(internal point),38.067157,-78.90142,38.067157,-78.90142,internal_point
51830,VA,Williamsburg city,(internal point),37.269481,-76.708193,37.269481,-76.708193,internal_point
51840,VA,Winchester city,(internal point),39.173869,-78.176356,39.173869,-78.176356,internal_point
53001,WA,Adams County,Ritzville,47.1264,-118.377,47.011238,-118.512861,seat
53003,WA,Asotin County,Asotin,46.338888888889,-117.04638888889,46.181861,-117.227781,seat
53005,WA,Benton County,Prosser,46.206944444444,-119.76555555556,46.228125,-119.516659,seat
53007,WA,Chelan County,Wenatchee,47.423333333333,-120.32527777778,47.860974,-120.619041,seat
53009,WA,Clallam County,Port Angeles,48.1131,-123.441,48.110903,-123.88986,seat
53011,WA,Clark County,Vancouver,45.631111111111,-122.67166666667,45.77173,-122.485953,seat
53013,WA,Columbia County,Dayton,46.319722222222,-117.97777777778,46.29285,-117.911634,seat
53015,WA,Cowlitz County,Kelso,46.1419,-122.906,46.196785,-122.67846,seat
53017,WA,Douglas County,Waterville,47.6478,-120.073,47.741763,-119.694622,seat
