fips,state,county,seat,lat,lon,int_lat,int_lon,point_source,capitol_drive_s,capitol_road_m,capitol_snap_m,center_drive_s,center_road_m,center_snap_m
29071,MO,Franklin County,Union,38.446666666667,-91.006111111111,38.413003,-91.072832,seat,60347.1,1420910.5,7.510610956,33595.7,780550.1,7.510610956
29073,MO,Gasconade County,Hermann,38.6992,-91.4392,38.441183,-91.50578,seat,62791.7,1467230.4,68.8197165,30914.0,726932.2,68.8197165
29075,MO,Gentry County,Albany,40.24806,-94.33056,40.208127,-94.405321,seat,75927.8,1770411.0,23.54087489,20054.5,426544.5,23.54087489
29077,MO,Greene County,Springfield,37.195,-93.286111111111,37.258196,-93.340641,seat,71260.0,1688878.8,26.85797114,29772.9,682013.9,26.85797114
29079,MO,Grundy County,Trenton,40.0783,-93.6114,40.112541,-93.565054,seat,71642.5,1676932.9,10.77083698,20629.5,455568.3,10.77083698
29081,MO,Harrison County,Bethany,40.266666666667,-94.033888888889,40.34562,-93.992582,seat,74466.3,1760920.5,11.22719016,19944.3,449340.8,11.22719016
29083,MO,Henry County,Clinton,38.37,-93.7717,38.386491,-93.792628,seat,73255.6,1707040.8,10.65777713,23140.9,535734.2,10.65777713
29085,MO,Hickory County,Hermitage,37.9419,-93.3178,37.93691,-93.322988,seat,71610.5,1684174.3,28.76779034,27184.7,616647.9,28.76779034
29087,MO,Holt County,Oregon,39.9867,-95.1425,40.095724,-95.219072,seat,76055.4,1793480.1,12.55796449,15764.8,336539.0,12.55796449
29089,MO,Howard County,Fayette,39.1456,-92.6861,39.143365,-92.695926,seat,66959.7,1571497.5,9.087734237,26540.8,611343.9,9.087734237
29091,MO,Howell County,West Plains,36.737222222222,-91.865,36.774369,-91.887368,seat,67764.1,1593274.8,9.434353982,37218.3,855007.4,9.434353982
29093,MO,Iron County,Ironton,37.6006,-90.6317,37.625971,-90.699587,seat,63472.5,1482460.9,145.4027791,40317.8,898148.4,145.4027791
29095,MO,Jackson County,Kansas City,39.05,-94.583333333333,39.005364,-94.343211,seat,73248.4,1728424.0,18.00781165,18561.5,427675.5,18.00781165
29097,MO,Jasper County,Carthage,37.167777777778,-94.315,37.205197,-94.337259,seat,74904.5,1778796.5,0.0,26783.5,620079.4,0.0
29099,MO,Jefferson County,Hillsboro,38.2322,-90.5633,38.25763,-90.543681,seat,59629.8,1404454.3,12.65529598,36566.1,848718.8,12.65529598
29101,MO,Johnson County,Warrensburg,38.7631,-93.735,38.741528,-93.811863,seat,71132.4,1678644.9,44.89293629,22186.8,509816.1,44.89293629
29103,MO,Knox County,Edina,40.1689,-92.1733,40.136856,-92.146835,seat,66162.0,1544089.1,0.5962282535,27971.4,614357.6,0.5962282535
29105,MO,Laclede County,Lebanon,37.678333333333,-92.661666666667,37.659698,-92.594843,seat,67535.6,1603505.5,3.677084969,31041.4,693978.9,3.677084969
29107,MO,Lafayette County,Lexington,39.1831,-93.875,39.068705,-93.802639,seat,71302.9,1680182.1,25.75636685,21650.0,481613.5,25.75636685
29109,MO,Lawrence County,Mount Vernon,37.1,-93.8181,37.10659,-93.830551,seat,72905.5,1735978.9,19.47723899,28864.6,672406.9,19.47723899
29111,MO,Lewis County,Monticello,40.1178,-91.7142,40.084559,-91.728803,seat,64420.0,1507801.9,10.7736276,30179.3,649096.4,10.7736276
29113,MO,Lincoln County,Troy,38.975,-90.977222222222,39.062255,-90.962916,seat,60296.6,1417442.8,22.70266713,32424.9,761471.1,22.70266713
29115,MO,Linn County,Linneus,39.8781,-93.1878,39.86444,-93.108019,seat,68475.0,1616767.1,12.33161091,21889.1,489182.0,12.33161091
29117,MO,Livingston County,Chillicothe,39.7931,-93.5519,39.778587,-93.548201,seat,69453.3,1640140.0,4.7120409,20090.7,447879.4,4.7120409
29119,MO,McDonald County,Pineville,36.5925,-94.3825,36.627955,-94.343716,seat,77417.0,1846125.0,26.99072779,28850.2,674476.6,26.99072779
29121,MO,Macon County,Macon,39.74056,-92.47056,39.829795,-92.56434,seat,65365.0,1545519.3,20.66017813,24074.5,541322.9,20.66017813
29123,MO,Madison County,Fredericktown,37.5594,-90.2944,37.474481,-90.343413,seat,62035.9,1429448.5,5.124743725,40234.2,940758.9,5.124743725
29125,MO,Maries County,Vienna,38.1867,-91.9481,38.162615,-91.923601,seat,65127.2,1535329.0,28.86327089,31450.3,734339.4,28.86327089
29127,MO,Marion County,Palmyra,39.7975,-91.5247,39.807538,-91.635379,seat,61966.7,1465431.8,20.69593687,28316.5,639328.6,20.69593687
29129,MO,Mercer County,Princeton,40.3989,-93.5858,40.421413,-93.567631,seat,73590.1,1713105.0,23.0154874,22200.3,490794.1,23.0154874
29131,MO,Miller County,Tuscumbia,38.2353,-92.4597,38.21668,-92.429876,seat,67682.9,1592586.9,40.93066946,29712.4,662431.7,40.93066946
29133,MO,Mississippi County,Charleston,36.921388888889,-89.346388888889,36.826264,-89.295929,seat,55392.4,1312252.0,9.100487622,44290.8,1048752.3,9.100487622
29135,MO,Moniteau County,California,38.63,-92.5683,38.633037,-92.583642,seat,67051.4,1578171.3,32.39951504,27375.4,615090.6,32.39951504
29137,MO,Monroe County,Paris,39.4803,-92.0011,39.49827,-92.006458,seat,64334.1,1512638.0,35.53827748,27120.2,605641.9,35.53827748
29139,MO,Montgomery County,Montgomery City,38.9769,-91.505,38.935184,-91.465427,seat,62175.9,1459781.9,21.90381042,29800.3,703440.2,21.90381042
29141,MO,Morgan County,Versailles,38.431388888889,-92.844443888889,38.420806,-92.874835,seat,68710.9,1607910.5,29.26357212,27465.8,620196.8,29.26357212
29143,MO,New Madrid County,New Madrid,36.587777777778,-89.535833333333,36.594261,-89.655948,seat,57590.9,1363435.4,42.94564493,44854.7,1061656.8,42.94564493
29145,MO,Newton County,Neosho,36.855555555556,-94.376388888889,36.908371,-94.335034,seat,76302.5,1809609.4,51.749064,27783.6,647008.9,51.749064
29147,MO,Nodaway County,Maryville,40.345277777778,-94.871111111111,40.361136,-94.883146,seat,77037.4,1816314.3,5.525312252,17846.0,398738.3,5.525312252
29149,MO,Oregon County,Alton,36.69389,-91.39889,36.68531,-91.401827,seat,65480.6,1522476.0,19.09045731,39987.5,904846.8,19.09045731
29151,MO,Osage County,Linn,38.4831,-91.8469,38.464253,-91.859504,seat,64133.0,1509388.4,15.24055695,30664.6,710295.8,15.24055695
29153,MO,Ozark County,Gainesville,36.6036,-92.4308,36.64959,-92.458549,seat,71094.0,1652420.9,23.28265025,36421.2,814656.5,23.28265025
29155,MO,Pemiscot County,Caruthersville,36.1847,-89.6614,36.209916,-89.785942,seat,57357.5,1387241.8,13.63093987,47066.6,1117428.9,13.63093987
29157,MO,Perry County,Perryville,37.7261,-89.8717,37.71113,-89.802125,seat,59475.5,1371815.3,49.98639972,39543.2,930131.8,49.98639972
29159,MO,Pettis County,Sedalia,38.709833333333,-93.229555555556,38.727367,-93.285207,seat,69290.5,1634613.4,25.86023707,24277.9,554713.3,25.86023707
29161,MO,Phelps County,Rolla,37.948888888889,-91.763055555556,37.866326,-91.790349,seat,63880.4,1510970.8,10.87893691,33436.6,774865.8,10.87893691
29163,MO,Pike County,Bowling Green,39.3417,-91.2,39.339959,-91.171607,seat,61773.4,1444345.5,28.54192034,30360.9,684125.6,28.54192034
29165,MO,Platte County,Platte City,39.3617,-94.7747,39.37869,-94.761477,seat,74824.0,1771570.3,35.76644355,16807.2,377595.3,35.76644355
