anchor,fips,state,osrm_h,valhalla_h,road_km,ratio
Boston MA,25011,MA,2.3472222222222223,1.8222222222222222,150.0751,1.288109756097561
Boston MA,25003,MA,2.8670833333333334,2.3625,219.4882,1.2135802469135804
Boston MA,33019,NH,2.37275,1.8244444444444445,178.42229999999998,1.3005328867235078
Boston MA,50027,VT,2.9458333333333333,2.2905555555555557,225.0472,1.2860780984719864
Boston MA,44009,RI,1.9079166666666667,1.5491666666666666,131.0177,1.2315761161915009
Boston MA,23031,ME,2.001722222222222,1.6955555555555555,145.95,1.1805701179554389
Boston MA,25015,MA,2.1511666666666667,1.7966666666666666,166.30689999999998,1.1973098330241188
Boston MA,33017,NH,1.4322222222222223,1.2152777777777777,104.49789999999999,1.1785142857142858
Boston MA,33003,NH,2.315888888888889,1.9008333333333334,168.9726,1.2183545228700863
Boston MA,23005,ME,2.1569444444444446,1.8275,171.45839999999998,1.1802705578355375
Boston MA,25005,MA,0.8705277777777778,0.7116666666666667,60.522,1.223224043715847
Boston MA,36079,NY,3.602361111111111,2.8675,277.4454,1.2562724014336917
Boston MA,25013,MA,1.8248055555555556,1.593611111111111,141.706,1.1450758236011853
Boston MA,33015,NH,1.2001666666666668,0.9252777777777778,81.4606,1.2970879615731015
Boston MA,09120,CT,3.174777777777778,2.605,246.544,1.21872467477074
Boston MA,25001,MA,1.605611111111111,1.2469444444444444,112.64569999999999,1.2876364446424593
Boston MA,36001,NY,3.4155277777777777,2.825277777777778,272.94829999999996,1.2089175105692656
Boston MA,36103,NY,5.8894722222222216,4.013888888888889,435.9103,1.4672733564013838
Boston MA,44001,RI,1.4088055555555554,1.2275,96.8562,1.1477031002489249
Boston MA,44005,RI,1.7066666666666668,1.3152777777777778,110.7095,1.297571277719113
Boston MA,33013,NH,1.4122222222222223,1.1519444444444444,109.8831,1.2259464673257776
Boston MA,33011,NH,1.1350277777777777,0.9716666666666667,84.90310000000001,1.1681246426529446
Boston MA,36083,NY,3.4785,2.8916666666666666,277.75890000000004,1.2029394812680114
Boston MA,36021,NY,3.383805555555556,2.839166666666667,260.0673,1.1918305449564623
Boston MA,44007,RI,1.1444444444444444,0.9408333333333333,81.1213,1.2164157071154413
Boston MA,23001,ME,2.7190833333333337,2.325277777777778,218.5306,1.16935849958189
Boston MA,25023,MA,0.9336944444444445,0.7355555555555555,63.784,1.2693731117824776
Boston MA,09160,CT,2.9596666666666667,2.5766666666666667,215.3495,1.1486416558861579
Boston MA,09170,CT,2.9551944444444445,2.4380555555555556,225.7547,1.2121111997265581
Boston MA,09110,CT,1.976388888888889,1.6497222222222223,152.77429999999998,1.1980131335241624
Boston MA,09180,CT,2.098333333333333,1.7633333333333334,167.22639999999998,1.1899810964083175
Boston MA,50025,VT,2.792527777777778,2.370277777777778,182.0424,1.178143677487402
Boston MA,36027,NY,4.060805555555556,3.596111111111111,290.0939,1.1292213811215819
Boston MA,44003,RI,1.512,1.2258333333333333,104.953,1.2334466349422162
Atlanta GA,13265,GA,1.7641111111111112,1.4741666666666666,150.6687,1.1966836254004147
Atlanta GA,13289,GA,2.0976666666666666,1.7761111111111112,173.1996,1.1810447294338442
Atlanta GA,13221,GA,1.8242777777777777,1.4983333333333333,141.1213,1.2175380051909528
Atlanta GA,13169,GA,1.8254722222222222,1.6166666666666667,140.66170000000002,1.1291580756013746
Atlanta GA,47139,TN,2.5502777777777776,1.9380555555555556,187.9991,1.3158950838469254
Atlanta GA,13313,GA,1.6969166666666666,1.4005555555555556,143.684,1.2116025386751288
Atlanta GA,13295,GA,2.0994166666666665,1.8102777777777779,161.74929999999998,1.159720730397422
Atlanta GA,01111,AL,1.9569166666666666,1.5822222222222222,159.3499,1.2368153089887641
Atlanta GA,13189,GA,2.2255555555555557,1.8322222222222222,188.7254,1.214675560946028
Atlanta GA,13235,GA,2.4383333333333335,2.016388888888889,203.12189999999998,1.2092574734811958
Atlanta GA,13249,GA,2.6127499999999997,2.0969444444444445,185.4623,1.2459795999470127
Atlanta GA,13195,GA,1.7496666666666667,1.455,136.7315,1.2025200458190148
Atlanta GA,13035,GA,1.0285,0.8802777777777778,75.3215,1.1683811928053012
Atlanta GA,47115,TN,2.701416666666667,2.198611111111111,226.75979999999998,1.2286923562855339
Atlanta GA,47011,TN,2.4334166666666666,2.0533333333333332,192.1413,1.1851055194805196
Atlanta GA,13199,GA,1.31725,1.106111111111111,98.7177,1.1908839779005527
Atlanta GA,13193,GA,2.522722222222222,2.1261111111111113,188.9449,1.1865429840606216
Atlanta GA,13227,GA,1.21375,1.0102777777777778,98.0517,1.2014022546054441
Atlanta GA,47065,TN,2.228138888888889,1.8472222222222223,185.3963,1.2062105263157896
Atlanta GA,01115,AL,2.1658333333333335,1.7872222222222223,187.2254,1.2118433322971713
Atlanta GA,13073,GA,2.387722222222222,1.9730555555555556,208.45229999999998,1.2101647191327607
Atlanta GA,13293,GA,1.5397777777777777,1.2369444444444444,101.8844,1.2448237143498764
Atlanta GA,13317,GA,2.3109444444444445,1.9305555555555556,171.2858,1.1970359712230216
Atlanta GA,13255,GA,0.9173888888888888,0.8155555555555556,59.965300000000006,1.1248637602179834
Atlanta GA,13297,GA,1.0418611111111111,0.8327777777777777,73.9693,1.2510673782521682
Atlanta GA,13133,GA,1.4454444444444445,1.221111111111111,122.3566,1.183712465878071
Atlanta GA,13219,GA,1.4604166666666667,1.2080555555555557,111.11810000000001,1.2088985973787076
Atlanta GA,01123,AL,2.464722222222222,2.093888888888889,209.1558,1.1771026797559032
Atlanta GA,13217,GA,0.6856666666666666,0.6125,55.579800000000006,1.119455782312925
Atlanta GA,13157,GA,1.2099444444444445,1.0269444444444444,97.1182,1.1781985393562349
Minneapolis MN,27023,MN,2.887,2.2733333333333334,206.0598,1.2699413489736069
Minneapolis MN,55013,WI,1.9500555555555554,1.5866666666666667,153.6043,1.2290266106442576
Minneapolis MN,27145,MN,1.3576666666666668,1.1352777777777778,106.05239999999999,1.1958894054318572
Minneapolis MN,27001,MN,2.5268888888888887,2.0733333333333333,201.9676,1.2187566988210075
Minneapolis MN,27115,MN,1.3019444444444443,1.096111111111111,109.34660000000001,1.1877850988342626
Minneapolis MN,27067,MN,2.1459722222222224,1.5811111111111111,150.8973,1.3572557976106818
Minneapolis MN,27059,MN,1.0077222222222222,0.8822222222222222,75.8357,1.1422544080604533
Minneapolis MN,27157,MN,2.025,1.5597222222222222,137.7955,1.298308103294746
Minneapolis MN,19189,IA,2.6231944444444446,2.1841666666666666,220.3204,1.2010047055831108
Minneapolis MN,27143,MN,1.5214999999999999,1.2283333333333333,114.2791,1.2386702849389415
Minneapolis MN,27151,MN,2.895277777777778,2.09,201.0737,1.3853003721424775
Minneapolis MN,27015,MN,2.0388055555555553,1.6133333333333333,155.2918,1.2637224517906336
Minneapolis MN,55121,WI,2.636194444444444,2.1269444444444443,214.6689,1.2394279744025074
Minneapolis MN,27013,MN,1.7623055555555556,1.4027777777777777,131.1068,1.2562970297029703
Minneapolis MN,27161,MN,1.5328055555555558,1.2652777777777777,119.3908,1.2114379802414932
Minneapolis MN,27173,MN,2.6896666666666667,2.0641666666666665,201.0374,1.3030278562777555
Minneapolis MN,55107,WI,2.953361111111111,2.1994444444444445,208.3887,1.342775953523617
Minneapolis MN,27049,MN,1.2843333333333333,1.0263888888888888,88.4993,1.2513125845737485
Minneapolis MN,27109,MN,1.9264444444444444,1.4827777777777778,140.8025,1.2992131884600975
Minneapolis MN,27097,MN,2.0018333333333334,1.6977777777777778,154.8376,1.1790903141361255
Minneapolis MN,27043,MN,2.53025,2.0880555555555556,216.4945,1.2117733138220035
Minneapolis MN,27121,MN,2.592388888888889,2.135,207.9091,1.214233671610721
Minneapolis MN,27025,MN,0.8798888888888888,0.7302777777777778,68.9382,1.2048687713959678
Minneapolis MN,27093,MN,1.4929722222222221,1.1166666666666667,107.1882,1.3369900497512437
Minneapolis MN,27085,MN,1.1487222222222222,0.9266666666666666,86.7324,1.2396282973621102
Minneapolis MN,55091,WI,1.847361111111111,1.4980555555555555,128.866,1.2331726311885778
Minneapolis MN,55129,WI,2.3625833333333333,1.8058333333333334,168.8159,1.308306414397785
Minneapolis MN,27129,MN,2.027083333333333,1.6002777777777777,155.64239999999998,1.266707168894289
Minneapolis MN,55033,WI,1.4428611111111111,1.16,113.2192,1.243845785440613
Minneapolis MN,27045,MN,2.6620277777777774,1.9983333333333333,197.0659,1.3321239922157353
Minneapolis MN,27047,MN,1.8577222222222223,1.5266666666666666,155.5991,1.2168486171761281
Dallas TX,48503,TX,2.3758055555555555,2.102222222222222,193.6629,1.1301400634249472
Dallas TX,48035,TX,1.8569722222222222,1.5919444444444444,140.88170000000002,1.1664805444076078
Dallas TX,40099,OK,2.604861111111111,2.227222222222222,226.149,1.1695559990022448
Dallas TX,40095,OK,2.20325,1.913888888888889,185.1198,1.1511901306240928
Dallas TX,48139,TX,0.6059166666666668,0.5458333333333333,43.963,1.110076335877863
Dallas TX,48085,TX,0.6475833333333334,0.6480555555555556,51.9613,0.9992713244749251
Dallas TX,48289,TX,2.138333333333333,1.8708333333333333,197.3474,1.1429844097995545
Dallas TX,48159,TX,1.879388888888889,1.636111111111111,166.1866,1.1486926994906623
Dallas TX,48181,TX,1.2013888888888888,1.0997222222222223,103.6573,1.0924475877746904
Dallas TX,48497,TX,1.271361111111111,1.1641666666666666,107.35260000000001,1.0920782629444046
Dallas TX,40019,OK,2.0415277777777776,1.811388888888889,177.4041,1.1270510657874557
Dallas TX,48009,TX,2.7175555555555557,2.298888888888889,222.238,1.1821169647172547
Dallas TX,48429,TX,2.7624166666666667,2.3452777777777776,213.30689999999998,1.1778633187255716
Dallas TX,48097,TX,1.35375,1.1908333333333334,113.37310000000001,1.1368089573128062
Dallas TX,48231,TX,0.9843333333333333,0.8875,80.11439999999999,1.1091079812206572
Dallas TX,48063,TX,2.2948055555555555,1.9880555555555555,205.634,1.154296492943971
Dallas TX,48193,TX,2.41875,2.025,196.4481,1.1944444444444446
Dallas TX,48133,TX,2.3453055555555555,1.9666666666666666,203.3269,1.1925282485875708
Dallas TX,48099,TX,2.4919722222222225,2.13,213.7537,1.1699400104329682
Dallas TX,48147,TX,1.3663333333333334,1.3055555555555556,114.7999,1.0465531914893618
Dallas TX,48251,TX,1.0249444444444444,0.9030555555555555,80.8384,1.1349738541987082
Dallas TX,48423,TX,1.7855555555555556,1.5897222222222223,157.95479999999998,1.1231871396120916
Dallas TX,48485,TX,2.588722222222222,2.3697222222222223,227.205,1.0924158949712812
Dallas TX,48221,TX,1.4113333333333333,1.1883333333333332,115.8986,1.1876577840112204
Dallas TX,48223,TX,1.4772500000000002,1.3025,129.54,1.134165067178503
Dallas TX,48073,TX,2.4050555555555557,2.086388888888889,201.7899,1.152735987218746
Dallas TX,48077,TX,2.2270555555555553,2.016388888888889,195.5435,1.1044772007163521
Dallas TX,48001,TX,2.2596944444444444,1.8783333333333334,172.2081,1.2030316474415852
Denver CO,08065,CO,2.1528888888888886,1.7027777777777777,161.8345,1.2643393148450244
Denver CO,08047,CO,0.925,0.6908333333333333,60.7749,1.3389626055488542
Denver CO,08069,CO,1.2845555555555555,1.1297222222222223,101.89689999999999,1.1370543398082122
Denver CO,08013,CO,0.7597499999999999,0.6486111111111111,48.818,1.1713490364025694
Denver CO,08041,CO,1.3735833333333332,1.2294444444444443,109.7551,1.1172390420244012
Denver CO,08121,CO,2.143527777777778,1.9391666666666667,186.3116,1.1053860478441484
Denver CO,08123,CO,1.301361111111111,1.15,99.7805,1.1316183574879226
Denver CO,08073,CO,1.9595,1.6791666666666667,170.8401,1.1669478908188586
Denver CO,08039,CO,1.129138888888889,1.0055555555555555,77.7501,1.122900552486188
Denver CO,08015,CO,3.134777777777778,2.9702777777777776,225.1387,1.0553820256242403
Denver CO,08093,CO,1.927472222222222,1.5472222222222223,133.45020000000002,1.2457630161579891
